section,item
"Format Requirements","Video must be 30 seconds or longer"
"Format Requirements","Vertical format (9:16)"
"Format Requirements","English voiceover preferred"
"Format Requirements","English subtitles are required"
"Format Requirements","Brand name must be spelled accurately: RUACH VOCAL"
"Format Requirements","Product name must be spelled accurately: RUACH VOCAL One-Day Package"
"Required Scenes","Need to show arriving at the studio and first impression of the space"
"Required Scenes","Need to show real moments from the lesson with the coach in a fun and engaging way"
"Required Scenes","Need to show singing or warming up before the lesson"
"Required Scenes","Need to show singing or vocal difference after the lesson"
"Required Scenes","Need to show or mention the recording / before-and-after process if possible"
"Required Scenes","Need to mention that coaches communicate comfortably in both English and Korean"
"Required Scenes","Need to mention Ruach Vocal is located between Hongdae and Hapjeong"
"Key Benefits / Claims","Need to mention the free trial lesson event and encourage viewers to apply"
"Key Benefits / Claims","Need to mention coaches speak both English and Korean (great for foreigners in Korea)"
"Key Benefits / Claims","Need to mention Ruach Vocal is hosting an open mic within the next 3 months"
"Key Benefits / Claims","Need to share honest personal experience of vocal difference after the lesson (if genuinely felt)"
"Key Benefits / Claims","Do not make exaggerated or unrealistic claims — keep review honest and natural"
"Video Flow","Hook (1-3 sec): Need to open with a strong hook — before/after clip or relatable foreigner-in-Korea intro"
"Video Flow","Main: Need to show lesson process naturally — arriving / meeting coach / singing / feedback / English communication"
"Video Flow","Outro: Need to end with honest thoughts and mention the free trial lesson event as CTA"
"Caption & Tags","Need to tag @ruachvocalmethod on Instagram / TikTok "
"Caption & Tags","Need to include hashtag #ruachvocal"
"Caption & Tags","Need to include hashtag #voicelessonsinseoul"
"Caption & Tags","Need to include hashtag #singinglessonsinseoul"
"Caption & Tags","Need to include hashtag #vocaltrainingseoul"
"Caption & Tags","Need to include hashtag #openmicinseoul"
"Prohibited","Do not leave out the free trial lesson event"
"Prohibited","Do not skip showing the actual lesson experience with the coach"
"Prohibited","Do not omit that English communication with coaches is comfortable and natural"
"Prohibited","Do not make exaggerated claims that were not genuinely experienced"
