section,item
"Format & Tech Requirements","Video length: 30 seconds or longer"
"Format & Tech Requirements","English voiceover OR English subtitles if VO not possible"
"Format & Tech Requirements","Brand name and product name spelled correctly"
"Required Scenes","Before & After comparison clearly shown"
"Required Scenes","Pharmacy scene included within the first few seconds"
"Required Scenes","Product displayed in a pharmacy setting (photos or video)"
"Required Scenes","CTA overlay included: Avail on Pharmacy"
"Key Benefits Communicated","Skin circulation improvement mentioned (clinically proven 17%)"
"Key Benefits Communicated","Puffiness care mentioned (pumpkin seed oil)"
"Key Benefits Communicated","Dark circle care mentioned (clinically shown 29% reduction)"
"Key Benefits Communicated","Low irritation / suitable for sensitive skin mentioned"
"Video Flow","Hook: Introduce a real-life skin concern + show product in pharmacy setting"
"Video Flow","Middle: Explain key ingredients and their benefits"
"Video Flow","Close/Outro: Show improved skin after using the product + highlight final results"
"Caption & Tags","TikTok tag included: @hanmi_procalm"
"Caption & Tags","Required hashtags included: #procalm #egf #egfcream #kpharmacy #koreanskincare"
"DO NOTs","No claims implying the product is a pharmaceutical"
"DO NOTs","No exaggerated or misleading claims"
"DO NOTs","No mention or exposure of other brands"
"DO NOTs","No pharmacy name / location / identifying details revealed (filming pharmacy sign strictly prohibited)"
