apply_num,handle,nick
725424,@rina_cheon,rina_cheon
725193,@sosojini,sosojini
725135,@crn_plt,crn_plt
725120,@angelkim,angelkim
724742,@i.am.pich,i.am.pich
724667,@robertaramirezr,robertaramirezr
724642,@beya06,beya06
724476,@only.yul_,only.yul_
724411,@boorangie,boorangie
724282,@sashashovkun,sashashovkun
724245,@poluuuna,poluuuna
724202,@ohmila,ohmila
723797,@rayaneroxy,rayaneroxy
723768,@milkyvenus,milkyvenus
723612,@miawrla,miawrla
723510,@tuanavekunki,tuanavekunki
723491,@tesshorak,tesshorak
723489,@RebecaArcega,RebecaArcega
745001,@lisa_sant_,lisa_sant_
744807,@minjina,minjina
