section,item
"Format & Tech Requirements","Video length is min 40 seconds – maximum 1 minute"
"Format & Tech Requirements","English subtitles need to be included, mandatory if voiceover is not in English."
"Content Requirements","Overall clinic experience need to be covered: facility + treatment process"
"Content Requirements","Consultation scene need to be included"
"Content Requirements","Procedure scene need to be included"
"Content Requirements","Before & After need to be shown"
"Content Requirements","Personal review / reaction need to be included"
"Key Points to Highlight","Transparent pricing need to be mentioned"
"Key Points to Highlight","Personalized consultation need to be highlighted"
"Key Points to Highlight","Doctor's expertise and aesthetic sense need to be highlighted"
"Key Points to Highlight","Smooth communication / translation need to be highlighted"
"Key Points to Highlight","Friendly staff need to be mentioned"
"Sensitive Content","Any sensitive scenes (e.g. needle insertion) need to be blurred or mosaicked"
"Caption & Tags","Required hashtags need to be included: #upicclinic #upicclinicmyeongdong #kbeauty"
"Caption & Tags","Please tag @upic_clinic_english "
"Caption & Tags","Invite as collaborator (IG)"
"Caption & Tags","TikTok Tag need to be active (cliickable). The current one is a plain text which is not connected / clickable."
