section,item
"Format Requirements","Video must be 30–60 seconds minimum"
"Format Requirements","English voiceover required (if no voiceover: English subtitles required)"
"Format Requirements","Brand name must be spelled accurately: RENODERM"
"Format Requirements","Product name must be spelled accurately: RENODERM Daylong BB Cream"
"Required Scenes","Hook: Need to show pressing the airless pump and dispensing the product"
"Required Scenes","Need to show bare skin → apply with built-in puff → after result (before & after)"
"Required Scenes","Need to show texture blending smoothly and spreading easily on skin"
"Required Scenes","Need to show skin still looking fresh after 6 hours of wear (no creasing or caking)"
"Required Scenes","Need to apply small amounts and build coverage gradually (no heavy application)"
"Required Scenes","Need to make sure no other brands or products appear in the video"
"Key Benefits / Claims","Need to highlight natural tone-up and redness correction"
"Key Benefits / Claims","Need to highlight lightweight / non-cakey / natural finish"
"Key Benefits / Claims","Need to highlight long-lasting wear — stays fresh all day"
"Key Benefits / Claims","Need to highlight daily UV protection with skincare benefits"
"Key Benefits / Claims","Need to mention the airless container keeps formula fresh and ensures hygienic application"
"Video Flow","Hook: Need to open with airless pump press and product dispensing"
"Video Flow","Main: Need to show application with built-in puff and natural coverage result"
"Video Flow","Outro: Need to end with clear before & after comparison shot"
"Caption & Tags","Need to tag @renoderm_official (required)"
"Caption & Tags","Optional: tag @renoderm_mysg and/or @renoderm.vietnam"
"Caption & Tags","Need to include hashtag #RENODERM"
"Caption & Tags","Need to include hashtag #DayLongBBCream"
"Caption & Tags","Need to include hashtag #RENODERMBBCream"
"Caption & Tags","Need to include hashtag #KBeauty"
"Caption & Tags","Need to include hashtag #KoreanMakeup"
"Prohibited","Do not show other brands or products in the video"
"Prohibited","Do not use copyrighted background music without a voiceover or subtitles"
